Universal Intention Arts, Silver Thunderous Starlight Style, Evil Authority Form: Butterfly
Elegant Toxic Harmonious Trail Arts, Forged Cawing Ultimate Style, Unrivaled Necrotoxin Form: Six Fighting Pierces
Spirit Quick Asura Arts, Tidal Overwash Style, Equine Priest Form: Toxic Fang Confronting Triadic
Liberated Granite Arts, Boundless Traceless Crusher Style, Mysterious Responsive Bone Form: Triple Shroud Coiling Pearlflower
Devouring Quake Arts, North Magnanimous Mysterious Style, Charging Whip Form: Motion of the Drunken Wrath
Illusory Bodhidharma Arts, Emerald Obsidian Windswept Style, North Brilliant Chackra Form: Space of the Invisible Blossom
Stellar Needle Arts, Grafting Volley Style, Healing Mistveil Form: Triple Eternal Dispersing Gateways
Demonic Talon Arts, Emptiness Style, Hell Form: Dual-Glow Severing North
Devouring Parallel Arts, Spiraling Equal Cobra Style, Grand Destroyer Form: Magnanimous Tremor Chopping Battlefield
Azure Rebounding Repentant Wrath Arts, Merciful Apex Condor Style, Unforgiving Penetrating Flight Form: Sharpened of the Life
Jade Dragon Arts, Old Polar Style, Decree Form: Six Going Manifestation
Felling Rivers Arts, Judgment Style, Expansive Misty Form: Dual-Leaves Traveling Aspects
Waning Ink Arts, Downward Mount Style, Calm Royal Form: Windswept Slicing Coil
Sacred Phaseless Arts, Spectral Corvid Arching Style, Equine Crane Form: Flameball-Cleaving Endless Triadic
Governing Capped Quick Cutter Arts, Saber Style, Dancing Vapor Form: Triple Prelude Unwavering Exorcism
Mirage Darkwind Arts, Enlightened Harmonies Style, Grounded Road Form: Six Crouching Gate
Brilliant Roars Arts, Tidal Plume Style, Gallant Strikes Form: Spearplay of the Grounded Master
Blessed Mindscape Arts, Boxing Essence Style, Fiery Calamity Form: Triple Pillar Fighting Pearl
Foxform Indestructible Warfield Arts, Body Style, Boxing Bamboo Form: Dual-Proud Sharpening Possession
Advanced Gentle Stunning Spike Arts, Barrage Style, Jade Dual Mindless Form: Unbounded-Crouching Birthless Sweetened
North Secret Divine Frontier Arts, Parallel Style, Onyx Scarlet Form: Six Cutting Hand
Ethereal Tortoise Arts, Astral Malevolent Thousands Style, Traversing Tidal Order Form: Ripping Trigrams
Abyssal Dao Arts, Secret Tablet Style, Waxing Breaker Form: Roar of the Sweeping Forms
Traditional Drowned Arts, Onyx Shattering Bloody Style, Drunken Forms Form: Cloak-Confronting Crystalline Army
Spectral Horse Arts, Violent Valley Style, Ethereal Switch Form: Transparency Freezing Limbo
True United Arts, 102nd Extinguishing Hellish Style, Tidal Tipsy Form: Ape of the Center Martyr
Ancient Seeds Arts, Merciful Continuous Cardinal Style, Liberated Fortress Form: Unforgiving Soft
Universal Lattice Arts, Shattering Soft Style, Snow Contemplate Form: Jade Fog
Dirty Cry Arts, Warmth Style, Lower Depth Form: Suppression of the Space
Sweeping God Arts, Rising Marquis Style, Latch Form: Buddhist Nape Paralyzing Fog
Emerald Yin Arts, Haunt Style, Kill Form: Surface Shattering Thousand
Aquatic Charge Arts, Apex Embracing Thoughtless Style, Opposition Form: Comb of the Sealing Monkey
Extra Abyssal Misty Arts, Feral Opposition Style, Aureate Repentant Range Form: Six Traveling Surface
Continuous Felling Phantom Arts, Mad Blooming Plume Style, Vile Crushes Form: Nebula Observing Team
Bloodstained Pierces Arts, Stalwart Style, Sonic Temper Form: Sutra of Exorcism
Featherweight Gem Coastal Scatter Arts, Golden Shooting Quick Style, Old Mobility Form: Triple Heritage Draining Blister
Invisible Extra Responsive Canyon Arts, Illusory Cawing Wall Style, Big Palm Form: Latch of Phantom
Earthly Cawing Arching Prelude Arts, Unforgiving Talon Style, Nefarious Pillar Form: Net-Countering Secret Buddha
Wounding Edge Arts, Shooting Grappling Ink Style, Void Luminous Stomp Form: Five-Fold Eclipse Aiming Flashes
Exploding Ravenous Vermillion Slip Arts, Poisonous Viper Style, Featherweight Elbow Form: Absolute Bird Following Authority
Extinguishing Soul Arts, Gem Fertile Intent Style, Traversing Ladder Form: Shout Feinting Cliff
Fatal Warmth Arts, Flying Severance Style, Wraith Form: Giant Remains-Observing Bound
Western Destroyer Arts, Extended White Cuts Style, Endless Body Form: Triple Pattern Revitalizing Chackra
Glacial Devil Arts, Frozen Living Specter Style, Rising Domain Form: Dual-Deities Evading Zenith
Chaotic Disruption Arts, Blazing Ancient Glide Style, Dark Graceful Mountian Form: Giant Array-Counterattacking Grip
Grand Warmth Arts, Serene Basilisk Style, Great Order Form: Icy Sanctum Crouching Charge
Devastating Pack Arts, Winter Style,  Dawn Form: Breakthrough-Cutting Continuous Enemies
Descending Judgment Arts, Astral Boulder Style, Many Whip Form: Parallel Bite
Destructive Lost Arts, Equal Snow Eagle Style, Icy Virtuous Defiers Form: Battlefield of the Spinning Scarlet
Infinite Fiend Arts, Governing Riddle Style, Downward Phantom Form: Toil of the Northern Ladder
Onyx Ice Arts, Illusory Disciple Style, Equal Pearl Form: Giant Vedas-Emerging Fortress
Penetrating Cyclone Arts, Infinite 62 Fold Long Style, Corvid Advent Form: Expansive Mindless
Shadow Cobra Arts, Evil Tablet Style, Dual Sealing Thunderbolt Form: Six Draining Frenzy
Dancing Fertile Merciful Consciousness Arts, Eternal Wrath Style, Full Form Form: Killer of the Nefarious Madness
Formless Saving Book Arts, Repelling Wild Earthen Style, Waxing Polarm Form: Unmatched Ridge
Obscure Black Tearing Scriptures Arts, Piercer Style, Empty Double Leniency Form: Giant Sutra-Cleaving Ape
Consuming Daybreak Arts, Smashing Mental Style, Striking Claw Form: Six Scorching Mastery
Feral Retribution Arts, Northern Dividing Lunar Style, Dancing Elusive Realm Form: Slip of the Capped Walk
Sacred Road Arts, Priest Style, Stretched Form: Height Countering United
Frozen Gallant Mount Arts, Grand Dark Chill Style, Double Radiant Cutter Form: Triple Volley Falling Pearl
Elusive Long Arts, Whirling Moonlight Style, Marquis Form: Triple Bound Gathering Thunder
Chaotic Flare Arts, Virtuous Capped Hawkstrider Style, Ascension Form: Giant Life-Carrying Kings
Western Boxing Coastal Shatter Arts, Abyssal Net Style, Obscure Gentle Majestic Form: Protective Skills Piercing North
Gentle Thrust Arts, Metallic Current Seal Style, Leap Form: Giant Poisons-Crouching Basilisk
Felling Fiery Roving Swan Arts, Unmatched Calm Perfusion Style, Hellish Beasts Form: Giant Breakthrough-Cutting Cry
Elegant Tempo Arts, Riding Skills Style, Mysterious Spiritage Form: Reaper Tangled Yang
Limitless Illuminated Arts, Copper Manifestations Style, Might Form: Five-Fold Snakeform Sleeping Penetration
Elegant Countless Grand Heat Arts, Advanced Ghostly Wisdom Style, Talon Form: Arm Aiming Life
Imperial Madness Arts, Blazing Invisible Orthodox Style, Universal Legs Form: Dual-Death Paralizing Ruin
Western Kundali Arts, Bloody Prajna Style, Posture Form: Six Shaking Consciousness
Roving Moonbeam Arts, Waning Tea Style, Outward Illuminated Form: Edge of the Soaring Suffering
Ghostly Maiden Arts, Felling Chop Style, Feral Saber Form: Black Nature
Illuminating Lightweight Arts, Foundational Parallel Style, Team Form: Extreme Trigrams
Unknowable Chop Arts, Unforgiving Trinity Style, Brilliant Moon Form: Cinder of the Exorcism
Dual Moonlit Boxing Steel Arts, Lower Shapeshifter Style, Indestructible Full Wheel Form: Soar of Volley
Emerald Encompassing Meditation Arts, Harmonious True Suffering Style, Hellish Principles Form: Prism Leaping Hawk
Pure Secret Hand Arts, Destructive Pyrocascade Style, Blazing Unrestrained Form: Essence of the Charging Glow
Extreme Mad Chaotic Scripture Arts, Thunderous Flesh Style, Saint Form: Mastery-Rising Fatal Nape
Traditional Fading Adaptive Dragontail Arts, Vile Proud Style, Whirling Fleeting Galaxy Form: Wild Myriads
Solar Venomous Cutting Taibai Arts, Element Style, Imperial Flower Form: Hidden Woods
Obscure Latch Arts, Waxing Heavenly Infusion Style, Encompassing Fog Form: Giant Dew-Blowing Annihilation
Traditional Assault Arts, Tiger Style, Perfect Ceremony Form: Protector of the Finishing Buddha
Icy Devil Arts, Killing Leaves Style, Traditional Body Form: Giant Canyon-Unwavering Wolf
Throwing Metallic Boundless Thaw Arts, Grafting Light Style, Volley Form: Drain-Reflecting Lower Ripple
Crystalline Obscure Tail Arts, Liberated Thirst Style, Facing Dao Form: Quartet Dispersing Commander
Equal Gate Arts, Corrupted Unknowable Heartless Style, Abyssal Block Form: Nail Ensnaring Interference
Shooting Raven Arts, Consecutive Granite Style, Mystic Wrath Form: Dual-Cleave Chopping Phaseless
Profound Ancient Western Crush Arts, Imperial Spanning Calamity Style, Great Mindscape Form: Five-Fold Ruin Sharpening Demon
Grafting Millennium Arts, Unified Needles Style, Kundali Form: South Binding Snakeform
Aquatic Penetration Arts, Wandering Rivers Style, Astral Galaxy Form: Roving Leaves Resonating Execution
Elegant Cave Arts, Corvid Distinction Style, Sweeping Trigrams Form: Domination
Martial Earth Arts, Healing Remains Style, Charging Shattering Chill Form: Six Cleaving Peak
Ultimate Warfield Arts, Grappling Underworld Style, Cardinal Rectitude Form: Five-Fold Tea Ending Bite
Red Sixteens Embracing Snowfall Arts, Killing Warfield Style, Extended Pulse Form: Giant Galaxy-Flowing Pounce
Devouring Otherness Arts, Outward Shooting Basic Style, Sudden Crane Form: Way-Flaming Wandering Firebrand
Diving Domination Arts, Variation Style, Holy Legs Form: Starlight of Toxin
Mirage Perfusion Arts, Sound Style, Indestructible Patriarch Form: Trap of the Body
Felling Double Heartless Soar Arts, Shadowy Style, Blooming Skills Form: Six Biting Saber
Blessed Fiery Unparalleled Infiltration Arts, Poison Style, Continuous Kings Form: Cloak
Blessed Instance Arts, Celestial Space Style, Smashing Stride Form: Violent Spear Paralyzing Origin
Consecutive Shadowless Arts, Foundational Crossing Slicing Style, Petal East Form: Emptiness
Jade Earthen Abyssal Opening Arts, Mirage Cawing Wraith Style, Chaotic Forged Domain Form: Triple Trinity Slicing Bodhi
Responsive Exchange Arts, Dipper Style, Sanctum Form: Hoarforst of Trail
Astral Divine Ascending Exorcism Arts, Heartless Diving Arhat Style, Ultimate Manipulation Form: Giant Devil-Slicing Prajna
Dancing Water Arts, Rising Liberated Snowfall Style,  Single Mothers Form: Swarm
Traceless Final Bow Arts, White Winter Style, Technique Form: Kings of the Mysterious Thread
Radiant Endless Hellish Shaft Arts, Ancient Galaxy Style, Cursed Capped Polar Form: Corvid Interference
Foxform Beggar Arts, Crash Style, Virtuous Heavenhold Form: Volcano of the Mountian
Single Calm Emptiness Arts, Intoxicated Illuminating Virtuous Style, Copper Living Refraction Form: Rapid of the Fairy
Center Great Coated Mountian Arts, Strike Style, Divine Scripture Form: Augmented Emergence
Shadow Boulder Arts, Nebula Style, Magnanimous Orthodox Form: Rhythm of the Deities
Mystic Trident Arts, Felling Shaolin Style, Cry Form: Secret Dust Stealing Flare
Infinite Devouring Calm Starlit Arts, Extinguishing Fury Style, Sugar Form: Triple Earthquakes Leaping Prestissimo
Forged Nature Arts, Holy Tearing Battle Style, Final Siege Form: Giant Rain-Sharpening Style
Full Warrior Arts, Venomous Guard Style, Universal Gallant Poison Form: Giant Fortress-Enduring Binder
Striking Grappling Glacial Trident Arts, Enlightened Instance Style, Rebounding Perfusion Form: Dual-Comb Invigorating Raptor
Balanced Midsummer Stroke Arts, Harmonious Turtle Style, Gentle Veil Form: Giant Punch-Summoning Disruption
Fading Unknowable Vile Spearplay Arts, Eternal Windrider Style, Continuous Harmonies Form: Astral Destiny
Riding Prestissimo Arts, Limitless Thundershock Style, Shattering Embracing Cosmos Form: Gust of Fish
Vile Single Repentant Tongue Arts, Bloodthristy Warrior Style, Crystalline Yin Form: Six Poking Trident
Double Cyclone Arts, Return Style, Motion Form: Buddha-Binding Roving Origin
Golden Thunderous Wandering Eruption Arts, Nefarious Block Style, Sonata Form: Cursed Hawk Tangled Roars
Gentle Judgment Arts, Dancing Spectral Arhat Style, Blossoms Form: Force of Limbo
Ultimate Raven Arts, Crimson Birthless Blessing Style, Mistveil Form: Five-Fold Shadowless Stealing Reguard
Demonic Hit Arts, Full Coated Ultimate Style, Nefarious Hellfire Form: Six Airsplitting Reflection
Elemental Taebaek Arts, Soft Style, Old Lake Form: Giant Momentum-Attacking Swing
Extinguishing Distinction Arts, Lower Precept Style, Healing Mirage Taibai Form: Striking Meridian
Midsummer Cascade Arts, Crimson Malevolent Saint Style, Icy Cutting Scheme Form: Death of the Lost
Sacred Sudden Spiraling Latch Arts, Energy Style, Felling Shura Form: Five-Fold Motion Ascending Thunderwake
Thunderous Gallant Forms Arts, Ghostly Bloodthristy Aureate Style, Felling Immovable Form: Quick Vitality
Single Surge Arts, Manipulation Style, Infinite Vairocana Form: Light of the Unrivaled Hunyuan
Countless Retribution Arts, Illusory Barrage Style, Self Form: Return of the Outward Breaker
Crystalline Misty Arts, Rotation Style, Grand Enemy Form: Endless Sanctum
Wicked Moonlight Arts, Shadow Chill Style, Saving Imperial Beak Form: Five-Fold Rotation Stopping Myriads
Downward Cloud Arts, Crows Style, Single Titan Form: Temper of the Many Needle
Stunning Tidal Stellar Kick Arts, Full Barrage Style, Shower Form: Triple Necrotoxin Twisting Blood
Magnanimous Crown Arts, Slicing Gate Style, Fate Form: Triple Bamboo Resting Bird
Iron Mount Arts, Pure Parallel Stun Style, Fading Reflect Form: Chaos of the Army
Penetrating Aura Arts, Violent Sight Style, Illusory Pines Form: Triple Suffering Confronting Might
Downward Big Gate Arts, Unparalleled Embrace Style, Bloody Tree Form: Sui-Descending Legged Sugar
Imperial Element Arts, Undivinable Finishing Feral Style, Buddhist Icy Instance Form: Six Stabbing Polarm
Final Rapid Arts, Frosty Nomad Style, Crushes Form: Astral Tempo
Gentle Drunken Grappling Snowlocked Arts, Sealing Crazy Phenomena Style, Perfect Stealth Form: Latch Flowing Comb
Coral Foundational Tearing Lightweight Arts, Dark Sui Style, Invisible Obsidian Jeweled Form: Dual-Rain Vispering Legacy
Cosmic Block Arts, Crystalline River Style, Unforgiving Feral Millennium Form: Dual-Transparency Going Deities
Equine Crystalline Mirage Cuts Arts, Leniency Style, Downward Expansive Tail Form: Path of the Volley
Capped Breakthrough Arts, Infinite Circle Style, Burning Nail Form: Principles of Drain
Glacial Rampage Arts, Fatal Void Emergence Style, Featherweight Marquis Form: Consciousness of the Battlefield
Invisible Yellow Finishing Tipsy Arts, Unknowable Big Elegance Style, Elemental Salvation Form: Five-Fold Interference Matching Sanctum
Adamantine Kick Arts, Icy Turtle Style, Paladin Form: Cloak Slicing Cutter
Defensive Dragon Arts, Shadow Harmonies Style, Dipper Form: Boundless Kaleidoscope Taking Latch
Graceful Brilliant Parallel Assaliants Arts, Ultimate Gallant Interference Style, Extreme Marquis Form: Six Swaying Mountain
Mighty Metallic Coastal Stomp Arts, Fading Demonic Final Style, Ascending Zen Form: Rhythm
Governing Goldenring Arts, Hellish Rising Interference Style, Cutting Substitution Form: Buddha-Weakening Single Creation
Onyx Lord Arts, Crossing Eclipse Style, Black Saber Form: Cloak Freezing North
Spirit Devouring Black Massacre Arts, Sinister Style, Drunken Truth Form: Decree of the Starlight
Double Sealing Thoughtless Arts, Frozen Lunar God Style, Deep Veiled Form: Silent-Piercing Extra Contemplate
Pure Empty Final Embrace Arts, Lower Arrows Style, Emerald Truth Form: Triple Needle Binding Vajrayana
Rebounding Dominating Heritage Arts, Drunken Weaver Style, Extra Calamity Form: Bloodstained Staff Resisting Deities
Obscure Gorge Arts, Nefarious Fairy Style, Universal Soft Form: Manifestations Gathering Raven
Ghostly Fading Sonic Sight Arts, Thunderclap Style, Crazy Sugar Form: Five-Fold Flames Soaring Vairocana
Emerald Piercer Arts, Trap Style, Healing Corvid Enigma Form: Whirlwind of the Reaction
Vile Dual Felling Inferno Arts, Killing Repentant Hawk Style, Apex Quartet Form: Heat-Swaying Cutting Flash
Dual Flames Arts, Illuminating Defensive Script Style, Corrupted North Beam Form: Triple Spearplay Descending Unity
Responsive Toxin Arts, Blazing Tai Style, Unshakable Snake Form: Slayer Taking Exchange
Virtuous Fairy Arts, Heartless Emerald Harmonious Style, Cosmic Basilisk Form: Giant Unbound-Freezing Roars
Governing Extreme Icy Stride Arts, Living Explosion Style, Soaring Glacier Form: Five-Fold Pyrocascade Concealing Skull
Enlightened Rivers Arts, Nefarious Haunt Style, Undivinable Wave Form: Six Rising Chackra
Treading Disciple Arts, Consonance Style, Grounded Book Form: Emperor
Grand Center Arts, Dancing Army Style, Merciful Pinnacle Form: Six Piercing Volley
Ravenous Chill Arts, Dancing Sudden Infinite Style, Petal Glacier Form: Cleave-Aiming Featherweight Swords
Malevolent Eternal Arts, Total Style, Icy Shapeshifter Form: Redemption of Royal
Dominating Circulation Arts, Dirty Breeze Style, Leaf Form: Giant Comb-Searching Sheet
Blazing Breakthrough Arts, Penetrating Disciple Style, Origin Form: Extended Flameball
Traceless Graceful Proud Arts, Calm Ink Style, Center Snowfall Form: Profound Delights Rises Distinction
Advanced Yellow Principles Arts, Waning Discipline Style, Skeletal Hell Form: Space-Retreating Mystic Chin
Grafting Tai Arts, Defense Style, Liberated Thunderous Nails Form: Giant Surface-Falling Meridian
Killing Crossing Net Arts, Adamantine Orthodox Style, Quartet Form: Big Circle
Rolling Mystery Arts, Whirling Defense Style, Invisible Unbound Form: Beam-Ascending Coastal Rectitude
Birthless Manifestation Arts, Living Seaspan Style, Stellar Weaver Form: Six Bowing Shroud
Outward Treading Countless Arm Arts, Prelude Style, Frozen Thread Form: Stretched-Surging Cawing Rain
Feral Team Arts, Perfect Underworld Style, Onyx Chaos Form: Giant Intent-Gathering Infusion
Descending Blaze Arts, Flames Style, Mystic Unity Form: Consonance-Conquering Continuous Destroyer
Fleeting Flames Arts, Merciful Hellish Frontier Style, Few Consciousness Form: Dual-Sonata Linking Yang
Northern Midsummer Gallant Tong Arts, Grafting Lunar Barrage Style, Traversing Feral Shatter Form: Whirling Nomad
Protective Signless Arts, Mountainous Style, Extinguishing Spiraling Trap Form: Limbo-Going Secret Burst
Tidal Pines Arts, Spectral Toxic Vile Style, Ripping Style Form: Six Emerging Sanctity
Descending Dirty Incineration Arts, Thousand Style, Quick Basilisk Form: Substitution-Poking Roving Stealth
Empty Martyr Arts, Single Hand Style, Graceful Charge Form: Soar Resonating Gust
Yellow Cliff Arts, Fading Soul Style, Grafting Prelude Form: Triple Roars Grounding Legs
Boundless Gust Arts, Void Prestissimo Style, Featherweight Change Form: Beast of the Lotus
Unshakable Elder Arts, Spiritual Wraith Style, Azure Devouring Horse Form: Chaotic Ripple Going Master
Arching Rolling Intention Arts, Formless Elbow Style, Resolve Form: Echo of the Beak
Skeletal Unbound Arts, Subduing Frosty Battle Style, Seaspan Form: Triple Condor Weakening Thoughtless
Fiery Kundali Arts, Smashing Hidden Throwing Style, Harmony Form: Six Resting Nail
Consecutive Mindscape Arts, Perfect Red Killer Style, Feral Raven Form: Six Dispersing Origin
Cawing Final Madness Arts, Wicked Neck Style, Water Form: Five-Fold Harmonies Sleeping Sweetened
Universal Flight Arts, Aureate Cawing Equine Style, Outward Illusion Form: Six Binding Vapor
Primordial Dust Arts, Charging Corrupted Chariot Style, Spinning Equal Aura Form: Dual-Statue Covering Shout
Countless Demonic Unknowable Slash Arts, Radiant Augmented Calm Style, Sweetened Form: Giant March-Ending Specter
Radiant Intention Arts, Dancing Trigrams Style, Exploding Sisi Form: Breakthrough Stealing Flameball
Celestial Hellish Graceful Lattice Arts, Soaring Kill Style, Serene Wrath Form: Tongue of Drift
Coated Song Arts, Center Dust Style, Extinguishing Road Form: Giant Trail-Traversing Traceless
Shooting Seaspan Arts, Bloodstained Corvid Waves Style, Rebounding Nails Form: Triple Interference Twisting Shade
Dancing Thundershock Arts, Cut Style, Lower Windrider Form: Fall
Blazing Eternal Arts, Coastal Star Style, Flying Demonic Mastery Form: Six Taking Path
Corvid Dipper Arts, Immortal Temper Style, Equal Daoist Form: Reflect of the Quick
Wicked Battalion Arts, Snow Whirlwind Style, Endless Total Form: Giant Pattern-Cutting Snakeform
Ethereal Expansive Continuous Bird Arts, Vairocana Style, Protective Ascension Form: Brush of Monastery
Wandering Charging Palm Arts, Guardian Style, Violent Coastal Grace Form: Dual-Scriptures Coiling Thundershock
Featherweight Living Thunderous Redemption Arts, Old Flesh Style, Chaotic Kill Form: Giant Force-Fighting Blister
Subduing Splitting Hidden Lofty Arts, Waning Imperial Ocean Style, Frontier Form: Grasp of the Cold Depth
Luminous Aureate Sacred Lattice Arts, Drunken Kings Style, Cardinal Soft Form: Hellish Hand
Exploding Daybreak Arts, Seaspan Style, Outward Augmented Fortress Form: Ghost of Tipsy
Apex Lunar Warmth Arts, Absolute Onyx Ethereal Style, Wandering Reflect Form: Galaxy Emerging Drop
Illusory Disruption Arts, Boxing Cutting Depth Style, Crystalline Thunderclap Form: Circulation of the Martial Taibai
Buddhist Luminous Subduing Demon Arts, Liberated Moonlight Style, Ancient Cascade Form: Five-Fold Web Shattering Torment
Augmented Darkwind Arts, Scatter Style, Spinning Basic Team Form: Triple Cascade Flying Enigma
Drunken Intoxicated Emerald Elements Arts, Nape Style, Long Form: Triple Hands Leaping Enemies
Undivinable Heavenhold Arts, Fading Metallic Ancient Style, Unrivaled Kaleidoscope Form: Chill-Shattering Ghostly Tail
Flying Trap Arts, Crimson Spanning Grappling Style, Wild Halo Form: Dual-Mental Shifting Chariot
Illuminating Sonata Arts, Sweeping Twin Heavenly Style, Plume Form: Expansive Stealth Biting Beasts
Dark Fleeting Imperial Verdant Arts, Spinning Fairy Style, Elemental Plume Form: Fiery Crane
Mysterious Traversing Forged Shard Arts, Sacred Crazy Slicing Style, Legacy Form: Scholar Shaking Life
Repentant Split Arts, Ethereal Riding Resolve Style, Crazy Master Form: Cry of Leaves
Gallant Madness Arts, Defensive Mountian Style, Crystalline Vapor Form: Command of Drop
Grand Storm Arts, Roving Self Style, Sections Form: Bound Cleaving Protector
Parallel Dance Arts, Bloodstained Cremation Style, Vapor Form: Center Assaliants Leaping Gate
Living Void Holy Taiji Arts, White Tong Style, Feral Otherness Form: Dual-Nature Ascending United
Balanced Woodland Arts, Rolling Karma Style, Severance Form: Unshakable Wisdom
Invisible Emerald Curse Arts, Arching Unshakable Sweeping Style, Petal Fortress Form: Grand Mind Grounding Shura
Many Windrider Arts, Posture Style, Grand Illuminating Wildfire Form: Shout of the Emergence
Equine Vitality Arts, Chill Style, Crimson Millennium Form: Hit of Protector
Icy Encompassing Spiraling Necrotoxin Arts, Sudden Possession Style, Blazing Crazy Whirlwind Form: Six Cleaving Destroyer
Coated Great Azure Man Arts, Repelling Bird Style, Limitless Silent Form: Six Attacking Penetration
Astral Shapeshifter Arts, Brilliant Formation Style, Universal Might Form: Five-Fold Zen Enduring Night
Intoxicated Roving Moonlit Mountain Arts, Formless Net Style, Slicing Liberated Fortune Form: Heaven
Secret Tablet Arts, Whirling Assaliants Style, Black Riddle Form: Projectile-Resonating Skeletal Cutter
Shadow Dancing Spiral Arts, Shooting Cursed Pounce Style, Solar Eruption Form: Six Breaking Daoist
Illusory Poisonous Reaction Arts, Cosmic Intention Style, Punch Form: Dual-Underworld Slicing Water
Emerald Downward Thundershock Arts, Grounded Motion Style, Scriptures Form: Dual-Mental Defending Dipper
Grappling Spiraling Basilisk Arts, Embracing Slash Style, Countless Radiance Form: Triple Thundershock Paralizing Intention
Lunar Tipsy Arts, Expansive Thunderous Equal Style, Cursed Thread Form: Forged Wall
Waning Mystery Arts, Pure Hawk Style, Center Elements Form: Forged Tundra Sacrificing Cloud
Cursed Commander Arts, Gentle Brook Style, Cascade Form: Trigrams of the Shroud
White Piercer Arts, Few Traversing Extra Style, Extinguishing Grafting Turtle Form: Five-Fold Statue Coiling Resonance
Shooting Triadic Arts, Ultimate Splitting Tidal Style, Ethereal Stance Form: Five-Fold Viper Soaring Pyrocascade
